Iteration, Rt, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
81,17.013500086132858,0.7276487655529734,2.77829528665681,38,268,2003,2309,7,2003,0,0.8674750974447812,0.11606756171502815
82,17.01350008613284,0.7276487655529734,2.7782952866568063,56,306,1947,2309,7,1947,0,0.8432221741013426,0.1325249025552187
83,17.01350008613287,0.7276487655529732,2.778295286656806,0,362,1947,2309,7,1947,0,0.8432221741013426,0.15677782589865744
84,17.039106046509517,0.7283786751270411,2.7810822141214286,48,362,1899,2309,7,1899,0,0.8224339540926808,0.15677782589865744
85,17.210057960572467,0.7332424059952753,2.7996528228910518,26,410,2041,2477,7,2041,0,0.8239806217198223,0.16552280985062576
86,17.444159419937534,0.7398767550183454,2.824983973706409,0,436,2148,2584,7,2148,0,0.8312693498452013,0.16873065015479877
87,17.44415941993753,0.739876755018345,2.8249839737064097,0,436,2148,2584,7,2148,0,0.8312693498452013,0.16873065015479877
88,17.444159419937556,0.7398767550183452,2.8249839737064097,0,436,2148,2584,7,2148,0,0.8312693498452013,0.16873065015479877
89,17.444159419937534,0.7398767550183453,2.824983973706409,0,436,2148,2584,7,2148,0,0.8312693498452013,0.16873065015479877
90,17.44415941993755,0.7398767550183452,2.824983973706411,33,436,2115,2584,7,2115,0,0.8184984520123839,0.16873065015479877
91,17.444159419937545,0.7398767550183453,2.8249839737064093,3,466,2115,2584,7,2115,0,0.8184984520123839,0.1803405572755418
92,17.451139477871834,0.7400741100237612,2.8257375109998133,43,466,2075,2584,7,2075,0,0.8030185758513931,0.1803405572755418
93,17.47540720996519,0.7407600541625693,2.8283565704389013,52,495,2037,2584,7,2037,0,0.788312693498452,0.19156346749226005
94,17.67696647835362,0.7464450528685956,2.850062929134639,85,526,2164,2775,7,2164,0,0.7798198198198198,0.18954954954954956
95,17.676966478353638,0.7464450528685951,2.8500629291346393,128,552,2095,2775,7,2095,0,0.7549549549549549,0.1989189189189189
96,17.67696647835363,0.7464450528685947,2.850062929134638,207,563,2005,2775,7,2005,0,0.7225225225225225,0.2028828828828829
97,17.676966478353645,0.7464450528685951,2.8500629291346384,205,565,2005,2775,7,2005,0,0.7225225225225225,0.2036036036036036
98,17.90869707343837,0.7529544056558382,2.874916821595018,205,565,2185,2955,7,2185,0,0.739424703891709,0.19120135363790186
99,18.293233579337002,0.7636945154099772,2.9159245133835476,188,582,2340,3110,7,2340,0,0.752411575562701,0.18713826366559486
100,18.293233579337002,0.7636945154099763,2.9159245133835494,158,612,2340,3110,7,2340,0,0.752411575562701,0.1967845659163987
101,18.547086165480092,0.7707433948170802,2.9428384165743027,158,612,2514,3284,7,2514,0,0.7655298416565165,0.18635809987819732
102,18.782965421531348,0.7772644257720929,2.967736898402539,151,619,2684,3454,7,2684,0,0.7770700636942676,0.17921250723798496
103,18.78296542153133,0.7772644257720929,2.967736898402537,123,647,2684,3454,7,2684,0,0.7770700636942676,0.18731905037637522
104,18.782965421531355,0.7772644257720931,2.967736898402537,205,647,2602,3454,7,2602,0,0.753329473074696,0.18731905037637522
105,19.145879461600977,0.787244373530111,3.005842153478609,299,666,2660,3625,7,2660,0,0.7337931034482759,0.18372413793103448
106,19.30250852439661,0.7915320788412535,3.0222133919393315,250,715,2835,3800,7,2835,0,0.7460526315789474,0.1881578947368421
107,19.302508524396604,0.791532078841254,3.022213391939332,250,715,2835,3800,7,2835,0,0.7460526315789474,0.1881578947368421
108,19.302508524396607,0.7915320788412537,3.022213391939332,250,715,2835,3800,7,2835,0,0.7460526315789474,0.1881578947368421
109,19.30250852439658,0.7915320788412541,3.0222133919393337,250,715,2835,3800,7,2835,0,0.7460526315789474,0.1881578947368421
110,19.3025085243966,0.7915320788412545,3.0222133919393297,250,715,2835,3800,7,2835,0,0.7460526315789474,0.1881578947368421
