Iteration, Rt, Rn, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
51,37.66725944077882,0,1.2360480887089274,4.719456338706814,998,3120,478,4596,0,478,0,0.10400348128807659,0.6788511749347258
52,37.71395808491982,0,1.237069485899849,4.723356218890332,1032,3120,453,4605,0,453,0,0.098371335504886,0.6775244299674267
53,37.72496406619285,0,1.2373101483699898,4.7242751119581445,1032,3120,455,4607,0,455,0,0.09876275233340569,0.6772303017147818
54,37.72736284445327,0,1.2373625981876892,4.724475374898449,1032,3120,456,4608,0,456,0,0.09895833333333333,0.6770833333333334
55,37.72736284445327,0,1.2373625981876895,4.724475374898447,1024,3128,456,4608,0,456,0,0.09895833333333333,0.6788194444444444
56,37.72736284445325,0,1.2373625981876895,4.724475374898451,1024,3128,456,4608,0,456,0,0.09895833333333333,0.6788194444444444
57,37.72736284445325,0,1.237362598187689,4.724475374898451,1024,3128,456,4608,0,456,0,0.09895833333333333,0.6788194444444444
58,37.72686674384198,0,1.2373517509291756,4.72443395809322,1029,3128,451,4608,0,451,0,0.0978732638888889,0.6788194444444444
59,37.72677322434629,0,1.2373497061165617,4.724426150626871,1027,3128,453,4608,0,448,5,0.09830729166666667,0.6788194444444444
60,37.718397007961514,0,1.2371665524999387,4.723726836817947,1050,3128,430,4608,0,427,3,0.09331597222222222,0.6788194444444444
61,37.736633511157414,0,1.2375652929186645,4.725249300234901,1092,3128,388,4608,0,367,21,0.0842013888888889,0.6788194444444444
62,37.72169023865055,0,1.2372385636120309,4.724001788336845,1145,3128,335,4608,0,283,52,0.07269965277777778,0.6788194444444444
63,37.73644291118042,0,1.2375611257899266,4.725233389379719,1162,3128,318,4608,0,214,104,0.06901041666666667,0.6788194444444444
64,37.71857693458338,0,1.2371704869022313,4.7237418590812466,1199,3128,281,4608,0,173,108,0.060980902777777776,0.6788194444444444
65,37.726503466417086,0,1.2373438078244703,4.7244036298752485,1203,3128,277,4608,0,135,142,0.060112847222222224,0.6788194444444444
66,37.73500673706168,0,1.237529726177315,4.725113499949747,1223,3128,257,4608,0,116,141,0.05577256944444445,0.6788194444444444
67,37.730359619709056,0,1.2374281217802636,4.724725555888279,1239,3128,241,4608,0,94,147,0.052300347222222224,0.6788194444444444
68,37.73062305470359,0,1.237433881624492,4.72474754802079,1244,3128,236,4608,0,64,172,0.051215277777777776,0.6788194444444444
69,37.72832493721705,0,1.2373836342466218,4.724555694396192,1253,3128,227,4608,0,49,178,0.049262152777777776,0.6788194444444444
70,37.72915802696326,0,1.2374018495234438,4.724625243634965,1247,3128,233,4608,0,45,188,0.05056423611111111,0.6788194444444444
71,37.725476894288136,0,1.2373213615632477,4.724317925968765,1255,3128,225,4608,0,37,188,0.048828125,0.6788194444444444
72,37.72915802696326,0,1.2374018495234436,4.724625243634966,1248,3128,232,4608,0,50,182,0.050347222222222224,0.6788194444444444
