Iteration, Rt, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
39,26.982627736483952,0.9895752991181579,3.778378414814788,298,1005,467,1770,0,467,0,0.26384180790960454,0.5677966101694916
40,27.67365303458133,1.0063993467408914,3.84261568755613,300,1070,513,1883,0,513,0,0.272437599575146,0.5682421667551779
41,28.306101235362604,1.021674895818597,3.900940511307369,342,1121,533,1996,0,533,0,0.26703406813627256,0.561623246492986
42,29.331694349055855,1.0462065925237696,3.9946069896362104,357,1194,569,2120,0,569,0,0.26839622641509436,0.5632075471698114
43,30.04585136606317,1.0631201788893716,4.059186137577603,386,1292,572,2250,0,572,0,0.25422222222222224,0.5742222222222222
44,30.569984055797367,1.0754481908034317,4.106256728522193,395,1364,625,2384,0,625,0,0.26216442953020136,0.5721476510067114
45,31.124438872400507,1.0884129627407941,4.155758585010306,412,1437,674,2523,0,674,0,0.2671422909235038,0.5695600475624257
46,31.78374354357112,1.1037296695271055,4.214240556376219,440,1497,735,2672,0,735,0,0.2750748502994012,0.5602544910179641
47,32.12865830087903,1.1117003565825136,4.244674088769598,455,1592,770,2817,0,770,0,0.273340433084842,0.5651402200922968
48,32.82243189317108,1.1276470524583968,4.305561473022972,481,1644,823,2948,0,823,0,0.2791723202170963,0.5576662143826323
49,33.22690506014055,1.1368921789846778,4.340861047032407,484,1757,820,3061,0,820,0,0.26788631166285526,0.5739954263312643
50,33.40391414070893,1.1409262989936726,4.356264050703112,515,1827,821,3163,0,821,0,0.25956370534302875,0.5776161871640847
51,33.78681155884732,1.1496284202410223,4.389490331829356,538,1880,836,3254,0,836,0,0.2569145666871543,0.5777504609711125
52,33.90173989028471,1.1522339750441912,4.399438813805093,543,1958,834,3335,0,834,0,0.2500749625187406,0.5871064467766117
53,34.1127336537591,1.157009790895289,4.4176737470547405,560,2005,845,3410,0,845,0,0.24780058651026393,0.5879765395894428
0,2.325140769936443,0.19305994851394429,0.73713798523506,0,0,25,25,0,4,21,1,0
1,2.579665295780262,0.20690370102740044,0.7899959493773472,11,0,19,30,0,6,13,0.6333333333333333,0
2,3.0875392538868396,0.2332389138567898,0.8905485801804701,10,9,17,36,0,7,10,0.4722222222222222,0.25
3,3.640092997235653,0.2602961060628152,0.9938578595125671,15,9,20,44,0,10,10,0.45454545454545453,0.20454545454545456
4,4.108343201572574,0.28216544631620316,1.077358976843685,9,21,24,54,0,16,8,0.4444444444444444,0.3888888888888889
5,4.71023018714361,0.309091768533583,1.1801685707645897,16,21,26,63,0,20,6,0.4126984126984127,0.3333333333333333
6,5.326325200817515,0.33548862869046553,1.2809565822726867,11,34,31,76,0,27,4,0.40789473684210525,0.4473684210526316
7,5.939568967986014,0.3607690766366129,1.3774819289761582,13,39,40,92,0,36,4,0.43478260869565216,0.42391304347826086
8,6.34585796286773,0.3770389783548507,1.4396033719003387,16,46,48,110,0,42,6,0.43636363636363634,0.41818181818181815
9,6.85605204896852,0.3969862112819646,1.5157655339856833,17,53,62,132,0,54,8,0.4696969696969697,0.4015151515151515
10,7.44425845666761,0.4193792903427273,1.601266381308595,32,55,75,162,0,70,5,0.46296296296296297,0.3395061728395062
11,8.19431160425704,0.44709622368270274,1.707094672243047,32,71,91,194,0,85,6,0.4690721649484536,0.36597938144329895
12,8.777411329411677,0.46806228926314214,1.7871469226410877,46,85,92,223,0,88,4,0.4125560538116592,0.3811659192825112
13,9.648582131832585,0.49854192222210847,1.903523703029869,55,102,105,262,0,102,3,0.40076335877862596,0.3893129770992366
14,10.177266349271738,0.5165909324586395,1.972438105751169,58,128,113,299,0,110,3,0.3779264214046823,0.4280936454849498
15,10.73595110279968,0.5353276822565335,2.0439784231613096,71,143,133,347,0,133,0,0.38328530259365995,0.41210374639769454
16,11.385150560675996,0.556696559534176,2.125568681857762,81,167,147,395,0,147,0,0.3721518987341772,0.42278481012658226
17,11.910862900370615,0.5737043845274011,2.190507650013713,91,191,175,457,0,175,0,0.38293216630196936,0.4179431072210066
18,12.789791462768884,0.6015914575346749,2.296985565132396,111,210,200,521,0,200,0,0.3838771593090211,0.40307101727447214
19,13.494094749513094,0.6234790361177465,2.3805563197223036,126,252,209,587,0,209,0,0.35604770017035775,0.4293015332197615
20,14.213532484950626,0.6454471727011987,2.464434659404577,129,299,231,659,0,231,0,0.3505311077389985,0.4537177541729894
