Iteration, Rt, Rn, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
33,25.222323835747925,20.66406200462012,0.9460543423095406,3.6122074888182443,420,1198,417,2035,0,417,0,0.2049140049140049,0.5886977886977887
34,25.918072528285915,21.276366091609884,0.9633730340270996,3.678333402648928,424,1325,415,2164,0,415,0,0.19177449168207025,0.6122920517560074
35,26.67408268150753,21.94254614221154,0.9820170175897331,3.7495195217062536,436,1401,460,2297,0,460,0,0.2002612102742708,0.6099259904222899
36,27.403217152966253,22.58584455736016,0.9998320481446606,3.817540547461432,490,1471,480,2441,0,480,0,0.19664072101597707,0.602621876280213
37,28.41908871306324,23.48338249961705,1.0243918556209064,3.9113143578252805,527,1572,489,2588,0,489,0,0.18894899536321483,0.60741885625966
38,29.233348096220602,24.203808384240283,1.0438667326751565,3.9856729793051398,531,1710,491,2732,0,491,0,0.17972181551976574,0.6259150805270863
39,30.043587354952724,24.921538358626588,1.0630667728224013,4.058982223503713,552,1821,516,2889,0,516,0,0.1786085150571132,0.6303219106957425
40,30.66771588215954,25.474972945231972,1.0777391001170424,4.115003836810523,576,1906,579,3061,0,579,0,0.18915387128389416,0.622672329304149
41,31.575952910701055,26.28118599208824,1.098913888768691,4.1958530298440895,634,1995,595,3224,0,595,0,0.18455334987593053,0.6187965260545906
42,32.48469175265496,27.08881895573274,1.1198981276631048,4.27597466925913,648,2145,604,3397,0,604,0,0.17780394465705035,0.6314395054459817
43,33.225208212338266,27.747641481625127,1.1368534724121593,4.340713258300972,678,2280,614,3572,0,614,0,0.17189249720044794,0.6382978723404256
44,34.04346213544814,28.476328028758594,1.1554429278034868,4.411691178886042,728,2385,632,3745,0,632,0,0.16875834445927904,0.636849132176235
45,34.81864616946428,29.167318917632755,1.1729169767952128,4.478410275036268,737,2528,657,3922,0,657,0,0.16751657317695054,0.644569097399286
46,35.575196238933316,29.842300117579892,1.1898463648092081,4.543049756544246,777,2662,644,4083,0,644,0,0.15772716140093068,0.6519715895175117
